region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
India,Conservative,Fixed_25,Reference,2045,385419.5209091829,1175469215.7658935,1010196037.306426,576100684.4166324,399768875.20581174,279327622.2897554
India,Conservative,Fixed_25,Reference,2060,3489168.3491327194,10641417366.082602,9145214107.147987,3347558980.975948,1740835398.8500347,916527364.9387404
India,Conservative,Fixed_25,Reference,2075,103718.56544757668,316325391.353891,271849447.48799515,63871107.11721285,24891599.246152394,9874687.216015344
India,Conservative,Fixed_25,Upside,2045,385419.5209091829,1456619535.2162943,1258405658.9974446,717651163.3872943,497993850.9672044,347959651.02079
India,Conservative,Fixed_25,Upside,2060,3489168.3491327194,13186645987.769466,11392233546.930267,4170068986.530813,2168566334.052498,1141722180.7167647
India,Conservative,Fixed_25,Upside,2075,103718.56544757668,391984526.98805785,338644055.68881905,79564519.83027524,31007574.96176276,12300941.415882926
India,Conservative,Regular_Loss,Downside,2045,567087.2590871627,1402331847.1723902,1196657901.0367434,682437279.8353416,473558166.3725097,330885881.39991975
India,Conservative,Regular_Loss,Downside,2060,2734265.3423692184,6761476839.377775,5769800278.609592,2112005964.518696,1098309175.883337,578245602.9589913
India,Conservative,Regular_Loss,Downside,2075,577754.8229714809,1428711322.8650827,1219168413.1359434,286443974.8871182,111631830.90408003,44285198.49721177
India,Conservative,Regular_Loss,Reference,2045,567087.2590871627,1729527383.9206703,1486352586.8784432,847646111.2125332,588200190.727341,410988876.06410694
India,Conservative,Regular_Loss,Reference,2060,2734265.3423692184,8339081347.278046,7166590854.791012,2623294030.9384856,1364194966.1237426,718231039.1838475
India,Conservative,Regular_Loss,Reference,2075,577754.8229714809,1762061784.1597977,1514312589.3667207,355788185.32878184,138656386.67367274,55006045.829579964
India,Conservative,Regular_Loss,Upside,2045,567087.2590871627,2143198086.6201744,1851555972.81952,1055916499.1591319,732723571.7616823,511970655.5205882
India,Conservative,Regular_Loss,Upside,2060,2734265.3423692184,10333634120.982533,8927453835.03493,3267848944.002394,1699383685.886712,894703573.166372
India,Conservative,Regular_Loss,Upside,2075,577754.8229714809,2183514108.783274,1886385871.232751,443206911.6168593,172724872.40351373,68521273.88618879
India,High,Early_Loss,Downside,2045,1840385.7168485622,4551030657.913702,3883550677.133979,2214734685.585496,1536852876.7369218,1073834123.8974323
India,High,Early_Loss,Downside,2060,4077137.176114768,10082221414.31933,8603505610.868378,3149269348.765543,1637718586.5881667,862237694.4244093
India,High,Early_Loss,Downside,2075,2524044.8023108062,6241629225.928961,5326196465.986383,1251391415.9099388,487687391.54219115,193469306.77497303
India,High,Early_Loss,Reference,2045,1840385.7168485622,5612888392.854593,4823705747.674982,2750891985.35141,1908904163.0113811,1333794835.2244134
India,High,Early_Loss,Reference,2060,4077137.176114768,12434630263.854416,10686297905.072506,3911664845.282233,2034188096.4019027,1070973773.2910136
India,High,Early_Loss,Reference,2075,2524044.8023108062,7697941602.260897,6615596561.542785,1554336345.1022787,605749910.127806,240305608.1085706
