region,capacity_scenario,lifetime_scenario,price_scenario,material,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Karnataka,Conservative,Regular_Loss,Upside,Silver,854.4022212778542,2034092749.0505502,1932388111.5980227,837109208.5990213,508416342.49842113,322220978.9027422
Karnataka,High,Early_Loss,Downside,Aluminium,232251.5011622628,604347349.8975728,483477879.9180583,222731248.94925976,144235940.038909,99157038.84919058
Karnataka,High,Early_Loss,Downside,Copper,53596.50026821449,599167432.9315275,551234038.2970053,253945528.6641962,164449632.5430396,113053227.9153622
Karnataka,High,Early_Loss,Downside,Glass,1250585.0062583382,708542997.873243,495980098.51127005,227911579.65901637,147245250.9568329,100941831.73739435
Karnataka,High,Early_Loss,Downside,Polymers,160789.50080464347,170579306.6579412,102347583.99476472,47150047.92764618,30533351.37214145,20990584.64476117
Karnataka,High,Early_Loss,Downside,Silicon,62529.25031291691,150173203.420505,112629902.56537874,51886963.00164125,33600875.13364922,23099397.27986855
Karnataka,High,Early_Loss,Downside,Silver,982.6025049172657,1374944677.202524,1306197443.3423977,603375590.129081,391706003.0038151,270085082.60588497
Karnataka,High,Early_Loss,Reference,Aluminium,232251.5011622628,721198973.9841166,576959179.1872933,264491425.65629706,170501305.49854383,116574495.21164921
Karnataka,High,Early_Loss,Reference,Copper,53596.50026821449,715017510.9531825,657816110.0769279,301558111.9950368,194395911.5167851,132911623.11054085
Karnataka,High,Early_Loss,Reference,Glass,1250585.0062583382,773724437.5219713,541607106.2653799,248285218.17348495,160054163.3042617,109431615.43051368
Karnataka,High,Early_Loss,Reference,Polymers,160789.50080464347,203561115.9136867,122136669.548212,55990272.82869875,36093474.821819805,24677691.443388674
Karnataka,High,Early_Loss,Reference,Silicon,62529.25031291691,179209456.689323,134407092.51699227,61615318.380430795,39719594.67685586,27156928.129827872
Karnataka,High,Early_Loss,Reference,Silver,982.6025049172657,1794454939.7928169,1704732192.803176,781488646.5136381,503777519.9412898,344440823.57266146
Karnataka,High,Early_Loss,Upside,Aluminium,232251.5011622628,858066061.6997844,686452849.3598275,313319550.66964686,201162430.31076628,136866720.40978545
Karnataka,High,Early_Loss,Upside,Copper,53596.50026821449,850711498.2161523,782654578.3588603,357229168.8345795,229353985.81758747,156047666.5710953
Karnataka,High,Early_Loss,Upside,Glass,1250585.0062583382,844268610.4880458,590988027.341632,270315871.875044,173893630.64078468,118595376.31524056
Karnataka,High,Early_Loss,Upside,Polymers,160789.50080464347,242192364.86478606,145315418.9188716,66326713.92287597,42584137.94714162,28973358.958227064
Karnataka,High,Early_Loss,Upside,Silicon,62529.25031291691,213219317.09258384,159914487.8194379,72990206.85234144,46862340.27822819,31884158.561317664
Karnataka,High,Early_Loss,Upside,Silver,982.6025049172657,2326212557.462644,2209901929.589512,1006670155.1509227,645121790.7088716,437940193.3969349
Karnataka,High,Fixed_25,Downside,Aluminium,273278.34318274574,707516329.245576,566013063.3964609,240470981.25450212,144171718.79542306,89970189.00064275
Karnataka,High,Fixed_25,Downside,Copper,63064.23304217209,701452141.4267092,645335970.1125724,274171364.59816676,164376411.1261731,102578903.12908337
Karnataka,High,Fixed_25,Downside,Glass,1471498.7709840157,831667540.5517266,582167278.3862085,247334108.94747528,148286431.14302728,92537970.32898039
Karnataka,High,Fixed_25,Downside,Polymers,189192.6991265163,199699138.1071442,119819482.86428653,50905377.421651475,30519756.356971286,19045817.5197773
Karnataka,High,Fixed_25,Downside,Silicon,73574.93854920079,175809480.51337123,131857110.38502842,56019570.51910199,33585914.299458265,20959249.723376255
Karnataka,High,Fixed_25,Downside,Silver,1156.1776057731552,1605184110.1727083,1524924904.664073,647865238.2394654,388420442.489633,242393313.43544328
Karnataka,High,Fixed_25,Reference,Aluminium,273278.34318274574,848597575.1682212,678878060.134577,288421741.1751974,172920066.8881886,107910561.30786738
