material,price_scenario,year,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t
Copper,Downside,2075,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Reference,2026,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Reference,2027,14286.0,0.025,14643.15,0.08,0.92,13471.698
Copper,Reference,2028,14286.0,0.025,15009.228749999998,0.08,0.92,13808.49045
Copper,Reference,2029,14286.0,0.025,15384.459468749998,0.08,0.92,14153.702711249998
Copper,Reference,2030,14286.0,0.025,15769.070955468746,0.08,0.92,14507.545279031247
Copper,Reference,2031,14286.0,0.025,16163.297729355463,0.08,0.92,14870.233911007026
Copper,Reference,2032,14286.0,0.025,16567.38017258935,0.08,0.92,15241.989758782203
Copper,Reference,2033,14286.0,0.025,16981.564676904083,0.08,0.92,15623.039502751757
Copper,Reference,2034,14286.0,0.025,17406.103793826685,0.08,0.92,16013.615490320552
Copper,Reference,2035,14286.0,0.025,17841.25638867235,0.08,0.92,16413.955877578563
Copper,Reference,2036,14286.0,0.015,18108.875234502433,0.08,0.92,16660.16521574224
Copper,Reference,2037,14286.0,0.015,18380.50836301997,0.08,0.92,16910.067693978373
Copper,Reference,2038,14286.0,0.015,18656.21598846527,0.08,0.92,17163.71870938805
Copper,Reference,2039,14286.0,0.015,18936.059228292244,0.08,0.92,17421.174490028865
Copper,Reference,2040,14286.0,0.015,19220.100116716625,0.08,0.92,17682.492107379298
Copper,Reference,2041,14286.0,0.015,19508.40161846737,0.08,0.92,17947.729488989982
Copper,Reference,2042,14286.0,0.015,19801.02764274438,0.08,0.92,18216.945431324828
Copper,Reference,2043,14286.0,0.015,20098.04305738554,0.08,0.92,18490.1996127947
Copper,Reference,2044,14286.0,0.015,20399.51370324632,0.08,0.92,18767.552606986617
Copper,Reference,2045,14286.0,0.015,20705.506408795012,0.08,0.92,19049.06589609141
Copper,Reference,2046,14286.0,0.015,21016.089004926936,0.08,0.92,19334.801884532782
Copper,Reference,2047,14286.0,0.015,21331.330340000837,0.08,0.92,19624.82391280077
Copper,Reference,2048,14286.0,0.015,21651.30029510085,0.08,0.92,19919.196271492783
Copper,Reference,2049,14286.0,0.015,21976.06979952736,0.08,0.92,20217.98421556517
Copper,Reference,2050,14286.0,0.015,22305.710846520265,0.08,0.92,20521.253978798646
Copper,Reference,2051,14286.0,0.015,22640.296509218068,0.08,0.92,20829.072788480622
Copper,Reference,2052,14286.0,0.015,22979.900956856338,0.08,0.92,21141.508880307832
Copper,Reference,2053,14286.0,0.015,23324.59947120918,0.08,0.92,21458.63151351245
Copper,Reference,2054,14286.0,0.015,23674.468463277317,0.08,0.92,21780.510986215133
Copper,Reference,2055,14286.0,0.015,24029.585490226473,0.08,0.92,22107.218651008356
Copper,Reference,2056,14286.0,0.015,24390.029272579868,0.08,0.92,22438.82693077348
Copper,Reference,2057,14286.0,0.015,24755.879711668564,0.08,0.92,22775.40933473508
Copper,Reference,2058,14286.0,0.015,25127.21790734359,0.08,0.92,23117.040474756104
Copper,Reference,2059,14286.0,0.015,25504.12617595374,0.08,0.92,23463.796081877445
Copper,Reference,2060,14286.0,0.015,25886.688068593045,0.08,0.92,23815.7530231056
