region,capacity_scenario,lifetime_scenario,price_scenario,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Maharashtra,Conservative,Fixed_25,Downside,6292358.5588801345,15560171136.888676,13535763928.396183,5968656117.454266,3524065465.305656,2111348637.6806283
Maharashtra,Conservative,Fixed_25,Reference,6292358.5588801345,24130829127.85829,21297729754.32455,9349158482.173069,5503205846.27141,3286831319.8389897
Maharashtra,Conservative,Fixed_25,Upside,6292358.5588801345,37880306472.25896,33677664407.504696,14718079358.90873,8637664123.669235,5143251736.157787
Maharashtra,Conservative,Regular_Loss,Downside,6281431.980746471,15533198152.3836,13512290795.03726,5516832982.982383,3151491193.6413693,1852921949.5278578
Maharashtra,Conservative,Regular_Loss,Reference,6281431.980746471,25099057396.467884,22183456779.513863,8898166041.821619,5022210288.017937,2916919548.1377325
Maharashtra,Conservative,Regular_Loss,Upside,6281431.980746471,41314605529.80402,36807501871.16526,14510150398.319288,8093551849.880348,4644764564.558196
Maharashtra,High,Early_Loss,Downside,17199784.053545054,42534516000.578064,37000352297.867065,15839446176.461647,9579228628.108992,6070474310.944897
Maharashtra,High,Early_Loss,Reference,17199784.053545054,68363400180.66721,60416042499.63799,24873581310.143394,14657757788.027578,9057464954.925592
Maharashtra,High,Early_Loss,Upside,17199784.053545054,112885883465.18216,100592413947.76219,39865752816.73798,22894760498.472134,13792801992.601551
Maharashtra,High,Fixed_25,Downside,18875935.521120287,46677693956.74431,40604839147.46653,16540065216.882776,9279346794.362003,5289387608.122551
Maharashtra,High,Fixed_25,Reference,18875935.521120287,74828880095.745,66116392328.90879,26798785501.946598,14985116856.596033,8513317679.136826
Maharashtra,High,Fixed_25,Upside,18875935.521120287,121556536209.00427,108229671373.80655,43652289337.19245,24329449396.914223,13776711391.223076
