region,fiscal_year_end_year,data_type,series,record_type,capacity_gw
Maharashtra,2029,Forecast,Conservative,Annual addition,12.350632850729092
Maharashtra,2029,Forecast,High,Annual addition,22.89496943760629
Maharashtra,2029,Forecast,Medium,Annual addition,19.540574898637075
Maharashtra,2030,Forecast,Conservative,Annual addition,11.353163251384338
Maharashtra,2030,Forecast,High,Annual addition,29.21004616240019
Maharashtra,2030,Forecast,Medium,Annual addition,22.618977923465565
Maharashtra,2031,Forecast,Conservative,Annual addition,9.106817186982838
Maharashtra,2031,Forecast,High,Annual addition,33.43748363048984
Maharashtra,2031,Forecast,Medium,Annual addition,23.049929254346083
Maharashtra,2032,Forecast,Conservative,Annual addition,6.539205876692748
Maharashtra,2032,Forecast,High,Annual addition,33.84019850901359
Maharashtra,2032,Forecast,Medium,Annual addition,20.631859839883376
Maharashtra,2033,Forecast,Conservative,Annual addition,4.331325706192089
Maharashtra,2033,Forecast,High,Annual addition,30.23600114710402
Maharashtra,2033,Forecast,Medium,Annual addition,16.430732968558516
Maharashtra,2034,Forecast,Conservative,Annual addition,2.717558085301448
Maharashtra,2034,Forecast,High,Annual addition,24.152401668643307
Maharashtra,2034,Forecast,Medium,Annual addition,11.909387671359354
Maharashtra,2035,Forecast,Conservative,Annual addition,1.6474806537673174
Maharashtra,2035,Forecast,High,Annual addition,17.62390675082645
Maharashtra,2035,Forecast,Medium,Annual addition,8.055793684619829
Maharashtra,2036,Forecast,Conservative,Annual addition,0.9780428787047272
Maharashtra,2036,Forecast,High,Annual addition,12.028890873780796
Maharashtra,2036,Forecast,Medium,Annual addition,5.197568306284438
Maharashtra,2037,Forecast,Conservative,Annual addition,0.5734134180700181
Maharashtra,2037,Forecast,High,Annual addition,7.840334641426381
Maharashtra,2037,Forecast,Medium,Annual addition,3.2519029546777176
Maharashtra,2038,Forecast,Conservative,Annual addition,0.3337240063914066
Maharashtra,2038,Forecast,High,Annual addition,4.957859612183313
Maharashtra,2038,Forecast,Medium,Annual addition,1.995591418073161
