region,capacity_scenario,lifetime_scenario,year,metric,Glass_tonnes,Aluminium_tonnes,Polymers_tonnes,Silicon_tonnes,Copper_tonnes,Silver_tonnes,Zinc_tonnes,Lead_tonnes,Tin_tonnes,Other_tonnes
Maharashtra,High,Regular_Loss,2045,cumulative,347496.69731433963,64535.10092980593,44678.14679755795,17374.83486571698,14892.715599185984,273.0331193184097,322.6755046490296,148.92715599185985,148.92715599185985,992.8477066123991
Rajasthan,Conservative,Fixed_25,2045,annual,82679.0756472492,15354.68547734628,10630.16686893204,4133.9537823624605,3543.38895631068,64.9621308656958,76.7734273867314,35.4338895631068,35.4338895631068,236.22593042071202
Rajasthan,Conservative,Fixed_25,2045,cumulative,248239.41140776704,46101.60497572816,31916.49575242719,12411.970570388352,10638.831917475729,195.04525182038836,230.50802487864078,106.3883191747573,106.3883191747573,709.2554611650487
Rajasthan,Medium,Fixed_25,2045,annual,82679.0756472492,15354.68547734628,10630.16686893204,4133.9537823624605,3543.38895631068,64.9621308656958,76.7734273867314,35.4338895631068,35.4338895631068,236.22593042071202
Rajasthan,Medium,Fixed_25,2045,cumulative,248239.41140776704,46101.60497572816,31916.49575242719,12411.970570388352,10638.831917475729,195.04525182038836,230.50802487864078,106.3883191747573,106.3883191747573,709.2554611650487
Rajasthan,High,Fixed_25,2045,annual,82679.0756472492,15354.68547734628,10630.16686893204,4133.9537823624605,3543.38895631068,64.9621308656958,76.7734273867314,35.4338895631068,35.4338895631068,236.22593042071202
Rajasthan,High,Fixed_25,2045,cumulative,248239.41140776704,46101.60497572816,31916.49575242719,12411.970570388352,10638.831917475729,195.04525182038836,230.50802487864078,106.3883191747573,106.3883191747573,709.2554611650487
Rajasthan,Conservative,Early_Loss,2045,annual,222372.43714215411,41297.738326400045,28590.741918276955,11118.621857107706,9530.247306092318,174.7212006116925,206.48869163200024,95.30247306092319,95.30247306092319,635.3498204061547
Rajasthan,Conservative,Early_Loss,2045,cumulative,1822443.8394627767,338453.85590022994,234314.20793092842,91122.19197313883,78104.73597697614,1431.920159577896,1692.2692795011496,781.0473597697614,781.0473597697614,5206.982398465077
Rajasthan,Medium,Early_Loss,2045,annual,307080.38252388546,57029.21389729301,39481.7634673567,15354.019126194273,13160.587822452233,241.2774434116243,285.1460694864651,131.60587822452234,131.60587822452234,877.3725214968157
Rajasthan,Medium,Early_Loss,2045,cumulative,2317249.302785484,430346.29908873275,297932.0532152765,115862.4651392742,99310.68440509216,1820.695880760023,2151.7314954436633,993.1068440509217,993.1068440509217,6620.712293672812
Rajasthan,High,Early_Loss,2045,annual,399870.13024053694,74261.59561609972,51411.87388806903,19993.506512026845,17137.29129602301,314.18367376042187,371.3079780804985,171.3729129602301,171.3729129602301,1142.486086401534
Rajasthan,High,Early_Loss,2045,cumulative,2822292.0418941802,524139.95063749055,362866.11967210885,141114.602094709,120955.37322403627,2217.5151757739986,2620.6997531874526,1209.553732240363,1209.553732240363,8063.6915482690865
Rajasthan,Conservative,Regular_Loss,2045,annual,111779.99548030998,20759.142017771854,14371.713704611282,5588.9997740154995,4790.571234870427,87.82713930595784,103.79571008885927,47.90571234870428,47.90571234870428,319.3714156580285
Rajasthan,Conservative,Regular_Loss,2045,cumulative,504205.06175979826,93638.08289824825,64826.365083402634,25210.253087989913,21608.78836113421,396.1611199541272,468.1904144912412,216.08788361134214,216.08788361134214,1440.585890742281
Rajasthan,Medium,Regular_Loss,2045,annual,126170.24846233724,23431.617571576917,16221.889088014788,6308.512423116862,5407.2963626715955,99.13376664897926,117.15808785788458,54.07296362671596,54.07296362671596,360.4864241781064
Rajasthan,Medium,Regular_Loss,2045,cumulative,547715.4460928413,101718.58284581338,70420.55735479387,27385.772304642065,23473.519118264627,430.3478505015181,508.5929142290669,234.73519118264628,234.73519118264628,1564.9012745509751
Rajasthan,High,Regular_Loss,2045,annual,138365.86329185124,25696.517468486658,17789.8967089523,6918.293164592562,5929.965569650767,108.71603544359739,128.48258734243328,59.29965569650767,59.29965569650767,395.3310379767178
Rajasthan,High,Regular_Loss,2045,cumulative,582857.4288787245,108244.95107747741,74938.81228440744,29142.871443936227,24979.60409480248,457.95940840471206,541.224755387387,249.7960409480248,249.7960409480248,1665.3069396534986
Tamil Nadu,Conservative,Fixed_25,2045,annual,66544.95347896442,12358.348503236248,8555.779733009711,3327.247673948221,2851.9265776699035,52.285320590614894,61.79174251618124,28.519265776699037,28.519265776699037,190.12843851132692
