region,capacity_scenario,lifetime_scenario,year,material,source_range,raw_midpoint_weight_percent,normalized_weight_percent,annual_material_tonnes,cumulative_material_tonnes
Gujarat,Medium,Early_Loss,2045,Copper,2-4%,3.0,3.033980582524272,5148.184099963103,45421.6809329013
Gujarat,Medium,Early_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,94.38337516599022,832.7308171031904
Gujarat,Medium,Early_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,111.54398883253388,984.1364202128614
Gujarat,Medium,Early_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,51.48184099963103,454.21680932901296
Gujarat,Medium,Early_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,51.48184099963103,454.21680932901296
Gujarat,Medium,Early_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,343.21227333087353,3028.11206219342
Gujarat,Medium,Regular_Loss,2045,Glass,68-72%,70.0,70.79288025889969,70612.8223825796,327551.3649960343
Gujarat,Medium,Regular_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,13113.809871050496,60830.967784977795
Gujarat,Medium,Regular_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,9078.791449188804,42113.74692806155
Gujarat,Medium,Regular_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,3530.64111912898,16377.568249801714
Gujarat,Medium,Regular_Loss,2045,Copper,2-4%,3.0,3.033980582524272,3026.2638163962683,14037.915642687183
Gujarat,Medium,Regular_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,55.48150330059825,257.36178678259836
Gujarat,Medium,Regular_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,65.56904935525247,304.15483892488896
Gujarat,Medium,Regular_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,30.262638163962684,140.37915642687184
Gujarat,Medium,Regular_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,30.262638163962684,140.37915642687184
Gujarat,Medium,Regular_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,201.75092109308457,935.8610428458123
Gujarat,High,Fixed_25,2045,Glass,68-72%,70.0,70.79288025889969,22396.885113268607,146000.9708737864
Gujarat,High,Fixed_25,2045,Aluminium,12-14%,13.0,13.147249190938512,4159.421521035599,27114.466019417476
Gujarat,High,Fixed_25,2045,Polymers,8-10%,9.0,9.101941747572816,2879.5995145631064,18771.55339805825
Gujarat,High,Fixed_25,2045,Silicon,3-4%,3.5,3.5396440129449838,1119.8442556634304,7300.0485436893205
Gujarat,High,Fixed_25,2045,Copper,2-4%,3.0,3.033980582524272,959.8665048543688,6257.184466019417
Gujarat,High,Fixed_25,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,17.597552588996763,114.71504854368932
Gujarat,High,Fixed_25,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,20.79710760517799,135.57233009708736
Gujarat,High,Fixed_25,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,9.598665048543689,62.571844660194174
